model,lang,family,derived,fertility,boundary_recall,n_gold_boundaries
google/gemma-2-2b,en,ly,safely,2,0.0,1
google/gemma-2-2b,en,ly,nicely,2,0.0,1
google/gemma-2-2b,en,ly,closely,2,1.0,1
google/gemma-2-2b,en,ly,widely,2,1.0,1
google/gemma-2-2b,en,ly,rarely,2,1.0,1
google/gemma-2-2b,en,ly,lately,2,0.0,1
google/gemma-2-2b,en,ly,freely,2,0.0,1
google/gemma-2-2b,en,ly,loudly,2,1.0,1
google/gemma-2-2b,en,ly,sadly,2,1.0,1
google/gemma-2-2b,en,ly,kindly,2,1.0,1
google/gemma-2-2b,en,ly,warmly,2,1.0,1
google/gemma-2-2b,en,ly,coldly,2,1.0,1
google/gemma-2-2b,en,agent_er,teacher,1,0.0,1
google/gemma-2-2b,en,agent_er,player,1,0.0,1
google/gemma-2-2b,en,agent_er,worker,1,0.0,1
google/gemma-2-2b,en,agent_er,singer,1,0.0,1
google/gemma-2-2b,en,agent_er,writer,1,0.0,1
google/gemma-2-2b,en,agent_er,reader,1,0.0,1
google/gemma-2-2b,en,agent_er,driver,1,0.0,1
google/gemma-2-2b,en,agent_er,painter,1,0.0,1
google/gemma-2-2b,en,agent_er,builder,1,0.0,1
google/gemma-2-2b,en,agent_er,dancer,1,0.0,1
google/gemma-2-2b,en,agent_er,farmer,1,0.0,1
google/gemma-2-2b,en,agent_er,baker,1,0.0,1
google/gemma-2-2b,en,agent_er,cleaner,1,0.0,1
google/gemma-2-2b,en,agent_er,helper,1,0.0,1
google/gemma-2-2b,en,agent_er,speaker,1,0.0,1
google/gemma-2-2b,en,agent_er,listener,1,0.0,1
google/gemma-2-2b,en,agent_er,reporter,1,0.0,1
google/gemma-2-2b,en,agent_er,manager,1,0.0,1
google/gemma-2-2b,en,agent_er,owner,1,0.0,1
google/gemma-2-2b,en,agent_er,leader,1,0.0,1
google/gemma-2-2b,en,agent_er,founder,1,0.0,1
google/gemma-2-2b,en,agent_er,designer,1,0.0,1
google/gemma-2-2b,en,agent_er,printer,1,0.0,1
google/gemma-2-2b,en,agent_er,recorder,1,0.0,1
google/gemma-2-2b,en,agent_er,trainer,1,0.0,1
google/gemma-2-2b,en,nom_tion,education,1,0.0,1
google/gemma-2-2b,en,nom_tion,information,1,0.0,1
google/gemma-2-2b,en,nom_tion,creation,1,0.0,1
google/gemma-2-2b,en,nom_tion,relation,1,0.0,1
google/gemma-2-2b,en,nom_tion,formation,1,0.0,1
google/gemma-2-2b,en,nom_tion,communication,1,0.0,1
google/gemma-2-2b,en,nom_tion,organization,1,0.0,1
google/gemma-2-2b,en,nom_tion,presentation,1,0.0,1
google/gemma-2-2b,en,nom_tion,preparation,1,0.0,1
google/gemma-2-2b,en,nom_tion,situation,1,0.0,1
google/gemma-2-2b,en,nom_tion,location,1,0.0,1
google/gemma-2-2b,en,nom_tion,operation,1,0.0,1
google/gemma-2-2b,en,nom_tion,production,1,0.0,1
google/gemma-2-2b,en,nom_tion,protection,1,0.0,1
google/gemma-2-2b,en,nom_tion,collection,1,0.0,1
google/gemma-2-2b,en,nom_tion,connection,1,0.0,1
google/gemma-2-2b,en,nom_tion,selection,1,0.0,1
google/gemma-2-2b,en,nom_tion,direction,1,0.0,1
google/gemma-2-2b,en,nom_tion,introduction,1,0.0,1
google/gemma-2-2b,en,nom_tion,reduction,1,0.0,1
google/gemma-2-2b,en,nom_tion,translation,1,0.0,1
