model,layer,family,condition,n_pairs,direction_consistency,pc1_var_ratio,analogy_acc,direction_consistency_ci_lo,direction_consistency_ci_hi,analogy_acc_ci_lo,analogy_acc_ci_hi
google/gemma-2-2b,22,agent_dor,delta,25,0.026330951934459,0.033462966867785604,0.039999999999999925,-0.025439633447851558,0.07581212991759402,-0.08,0.16
google/gemma-2-2b,22,agent_er,native,25,0.6199983673375401,0.13945599050262308,1.0,,,,
google/gemma-2-2b,22,agent_er,morphemic,25,0.6510106648269257,0.3235856631730776,0.92,,,,
google/gemma-2-2b,22,agent_er,delta,25,0.03101229748938561,0.1841296726704545,-0.07999999999999996,-0.04168120577990747,0.09816004154578147,-0.2,0.0
google/gemma-2-2b,22,cedilla,native,13,0.5031558800692473,0.29416680485406665,0.8461538461538461,,,,
google/gemma-2-2b,22,cedilla,morphemic,13,0.48222432572866764,0.3546504327376031,0.9230769230769231,,,,
google/gemma-2-2b,22,cedilla,delta,13,-0.02093155434057964,0.06048362788353645,0.07692307692307698,-0.07566208294472826,0.03188227215026276,-0.15384615384615385,0.3076923076923077
google/gemma-2-2b,22,dim_et,native,30,0.38322000852141574,0.11944363230540653,0.9333333333333333,,,,
google/gemma-2-2b,22,dim_et,morphemic,30,0.4813069442205226,0.23379388583571198,0.7666666666666667,,,,
google/gemma-2-2b,22,dim_et,delta,30,0.09808693569910687,0.11435025353030545,-0.16666666666666663,0.02806441053396622,0.14920419145122363,-0.3333333333333333,0.0
google/gemma-2-2b,22,gem_lla,native,12,0.457452328916285,0.2391146668411041,1.0,,,,
google/gemma-2-2b,22,gem_lla,morphemic,12,0.5703375229389231,0.3234749236503777,1.0,,,,
google/gemma-2-2b,22,gem_lla,delta,12,0.11288519402263814,0.08436025680927361,0.0,0.020444632217317432,0.17687684527490097,0.0,0.0
google/gemma-2-2b,22,gender_a,native,25,0.40493256733681143,0.20597115552722137,0.96,,,,
google/gemma-2-2b,22,gender_a,morphemic,25,0.5845126474143301,0.2405372664350339,0.92,,,,
google/gemma-2-2b,22,gender_a,delta,25,0.17958008007751863,0.03456611090781253,-0.039999999999999925,0.0814518440696512,0.2352563297515886,-0.12,0.0
google/gemma-2-2b,22,ly,native,40,0.6564633133909823,0.1422311812767762,0.9,,,,
google/gemma-2-2b,22,ly,morphemic,40,0.6928877441679633,0.20926731259429207,0.95,,,,
google/gemma-2-2b,22,ly,delta,40,0.03642443077698099,0.06703613131751587,0.04999999999999993,-0.005250802766927382,0.06875530198827537,-0.075,0.175
google/gemma-2-2b,22,ment,native,40,0.5270642264476876,0.17008322587436123,0.8,,,,
google/gemma-2-2b,22,ment,morphemic,40,0.5828683367691612,0.1393679720997388,0.9,,,,
google/gemma-2-2b,22,ment,delta,40,0.05580411032147359,-0.03071525377462242,0.09999999999999998,0.007217546806582878,0.09731500352541952,-0.025,0.225
google/gemma-2-2b,22,nom_cio,native,24,0.6982419856058408,0.20000885553378916,0.9583333333333334,,,,
google/gemma-2-2b,22,nom_cio,morphemic,24,0.7261158001622231,0.1753349922213039,1.0,,,,
google/gemma-2-2b,22,nom_cio,delta,24,0.02787381455638227,-0.024673863312485278,0.04166666666666663,-0.004399188957518473,0.05810360073135601,0.0,0.125
google/gemma-2-2b,22,nom_tion,native,25,0.6552624395933272,0.18027577559200664,0.96,,,,
